Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.5377358971029528e-07	1.2059770079165343e-07	0.10113771493756735
Vascular.endothelial.cells	1.1478526366957448e-07	1.458292158826158e-07	0.21560546758535482
Extravillous.trophoblasts	1.8943757897848974e-08	3.2965610264784286e-08	0.2827632968682232
IGFBP1_DKK1.positive.cells	3.116237394295335e-08	5.655551096155445e-08	0.29081509547621376
PAEP_MECOM.positive.cells	3.4489489695816317e-08	6.738883441696217e-08	0.30439609634834774
Trophoblast.giant.cells	1.1566012391567272e-08	8.638953425326436e-08	0.44674790190308117
Stromal.cells	7.046321530620179e-09	1.482889334733534e-07	0.48105038581771664
Smooth.muscle.cells	4.5305318288930604e-09	9.888925563783364e-08	0.48172917160223555
Myeloid.cells	-2.288600029534164e-07	2.3571618035867508e-07	0.8342043027457093
Lymphoid.cells	-3.6944594088516717e-07	2.1464818219293338e-07	0.9573899800812161
Erythroblasts	-2.429172818017e-07	9.999792901009794e-08	0.9924343914818822
