Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Trophoblast.giant.cells	3.7931675661749255e-07	1.7731635970263715e-07	0.01620937187662518
Vascular.endothelial.cells	3.0913863687728685e-07	1.924272571578885e-07	0.05407962408215702
Smooth.muscle.cells	2.0656742211865348e-07	3.375580245814681e-07	0.27028660639671204
Extravillous.trophoblasts	4.5221127641472195e-08	7.72764452309934e-08	0.27921118183640675
IGFBP1_DKK1.positive.cells	5.172291759075812e-08	9.192265043804267e-08	0.286826844921206
Myeloid.cells	3.796655836137027e-08	3.1503422627847856e-07	0.45203733675724156
Stromal.cells	-3.1040618978259955e-07	3.0130437296020603e-07	0.8485438236008234
PAEP_MECOM.positive.cells	-1.1478180136964065e-07	1.0074542889862854e-07	0.8727162198359912
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-2.3163716370935746e-07	1.8232152729716884e-07	0.8980444273380082
Lymphoid.cells	-7.020843222334484e-07	4.748475281440148e-07	0.9303692680481369
Erythroblasts	-2.411077910973703e-07	1.5453147161900523e-07	0.9406496407420362
