Name	Coefficient	Coefficient_std_error	Coefficient_P_value
IGFBP1_DKK1.positive.cells	4.882351173216319e-08	5.0666906666428075e-08	0.16761889559901905
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.1904188353743445e-07	1.6220487019929763e-07	0.23150535214868695
Myeloid.cells	3.093885009085434e-07	6.597294904379619e-07	0.31954816091272853
Trophoblast.giant.cells	3.492690037827735e-08	9.504471955645996e-08	0.356631026236393
Stromal.cells	4.874123737045285e-08	2.775660399033565e-07	0.4303031943050166
Extravillous.trophoblasts	-4.133050601581819e-09	3.4811926076560526e-08	0.5472534384874167
Erythroblasts	-4.158324711516203e-08	1.1873960657651985e-07	0.6369077091783775
Smooth.muscle.cells	-8.706849402299716e-08	1.5778710511548084e-07	0.7094607140364009
Vascular.endothelial.cells	-1.4227122221979838e-07	1.1331007063575415e-07	0.8953680397441464
PAEP_MECOM.positive.cells	-9.306703130291544e-08	6.443034505119798e-08	0.9256951338365282
Lymphoid.cells	-8.626871946878465e-07	2.845406674561517e-07	0.9987847366175371
