Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	2.7634122470220205e-06	2.5320098491426053e-06	0.13755048011805365
Stromal.cells	5.988563207927587e-07	7.517155073188809e-07	0.2128263296891048
Trophoblast.giant.cells	2.2684859927951002e-07	5.940898528173783e-07	0.3512891932657866
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.2466043595957684e-08	1.066107329097267e-06	0.4953352552816478
Myeloid.cells	2.678376008091169e-10	1.7320975711906693e-06	0.49993831078306705
PAEP_MECOM.positive.cells	-1.4927497069460885e-07	3.2475027790260783e-07	0.6771201426267077
Vascular.endothelial.cells	-5.007370289337393e-07	6.704987683392631e-07	0.7724117008299061
IGFBP1_DKK1.positive.cells	-2.0940177694754444e-07	2.119564559421525e-07	0.8384107343938737
Extravillous.trophoblasts	-2.1126643167438628e-07	1.3976052803936079e-07	0.93468619690549
Erythroblasts	-5.990920332955486e-07	3.7248018844052273e-07	0.9461247002182004
Smooth.muscle.cells	-1.3067147673272127e-06	4.6846500285924233e-07	0.9973593355211665
