Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	4.40118557918672e-07	2.1213389280748055e-07	0.01900621839813706
Stromal.cells	1.5758588165842736e-07	2.0236574052764132e-07	0.21807287147905274
Lymphoid.cells	1.6547243177343755e-07	3.602817047682305e-07	0.3230143115783358
Vascular.endothelial.cells	-9.520363289579609e-09	1.40230355485636e-07	0.5270637536340451
IGFBP1_DKK1.positive.cells	-5.326530886640638e-09	4.980968034132449e-08	0.5425807837364023
Myeloid.cells	-8.271516251458038e-08	3.2305448773712946e-07	0.6010403728641563
PAEP_MECOM.positive.cells	-2.7967091404015556e-08	8.45808404914551e-08	0.6295475123195738
Erythroblasts	-6.804785091801562e-08	1.260534099377711e-07	0.7053440620147634
Extravillous.trophoblasts	-2.9175586658025314e-08	4.012574528044189e-08	0.7664188509983629
Trophoblast.giant.cells	-1.9748095085531132e-07	9.87655226341099e-08	0.9772224696454062
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-3.007955179846637e-07	1.2886667167080286e-07	0.9902063450361134
