Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Syncytiotrophoblasts.and.villous.cytotrophoblasts	2.1887150257458043e-07	1.1113110450576181e-07	0.024448474675049483
IGFBP1_DKK1.positive.cells	6.13784167593436e-08	4.681916825346691e-08	0.09493434023316039
Lymphoid.cells	5.670807969043907e-07	4.349998718215738e-07	0.09617913295542002
Vascular.endothelial.cells	1.0100016201977426e-07	1.4200199890425293e-07	0.2384619589997634
PAEP_MECOM.positive.cells	3.356493739433664e-08	6.281339827033102e-08	0.29654640968671886
Smooth.muscle.cells	5.2360194019899705e-08	1.5847221627400484e-07	0.3705465496064022
Erythroblasts	2.101416051480132e-08	9.595412700507854e-08	0.4133241848607181
Myeloid.cells	-8.386777142609746e-08	2.383175766618781e-07	0.6375493751324771
Trophoblast.giant.cells	-3.873063570401872e-08	9.170954604784984e-08	0.6636037128820867
Extravillous.trophoblasts	-3.641818084024619e-08	2.7892977316508872e-08	0.9041624575844884
Stromal.cells	-2.1332905364191148e-07	9.522575571953087e-08	0.9874624995450735
