Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PAEP_MECOM.positive.cells	1.0763992183201544e-06	5.727470492247465e-07	0.030097519386712426
Extravillous.trophoblasts	2.165899252046562e-07	1.5416367799385115e-07	0.08002032482018512
Stromal.cells	1.2041659288675692e-06	8.876752853133445e-07	0.0874639061800524
Vascular.endothelial.cells	4.1841452009701024e-07	6.244649260377867e-07	0.2514171456326991
Syncytiotrophoblasts.and.villous.cytotrophoblasts	2.1605893422455258e-08	4.242315403346993e-07	0.479690855599464
Erythroblasts	-9.666519575153834e-08	4.5206875598475313e-07	0.5846596105763012
Smooth.muscle.cells	-3.167223199618105e-07	4.205053347330089e-07	0.7743334884855073
Myeloid.cells	-7.106930928751312e-07	9.336901682289799e-07	0.7767210007004315
IGFBP1_DKK1.positive.cells	-1.421500875969639e-07	1.5704764194621112e-07	0.8173043629145512
Lymphoid.cells	-6.155301648192411e-07	5.412124697955886e-07	0.8722971133334279
Trophoblast.giant.cells	-5.575424592969721e-07	1.884811274873692e-07	0.9984521966154342
