Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Extravillous.trophoblasts	8.79180667536696e-08	5.970110658646666e-08	0.07042445255834098
Syncytiotrophoblasts.and.villous.cytotrophoblasts	3.9231702381862993e-07	3.0636500797465133e-07	0.10017513288755459
Trophoblast.giant.cells	1.363408630783943e-07	1.4723407788468332e-07	0.17721927172573376
Stromal.cells	1.756928435480609e-07	4.939093029058461e-07	0.36102556778228745
Vascular.endothelial.cells	-5.671650195937185e-08	1.6218437780447257e-07	0.6367195194497398
IGFBP1_DKK1.positive.cells	-3.752219242271917e-08	7.269746966127116e-08	0.6971222622452693
PAEP_MECOM.positive.cells	-5.6300265799595777e-08	9.169538725964085e-08	0.7303898069634607
Smooth.muscle.cells	-1.6567007489085735e-07	2.0797246347868406e-07	0.7871572085563483
Lymphoid.cells	-3.1777376548437343e-07	3.520859464704187e-07	0.8166165535457349
Erythroblasts	-1.378274637899647e-07	1.5146082106354502e-07	0.8185854661940446
Myeloid.cells	-5.734162384022894e-07	2.4463630150807167e-07	0.9904597378463492
