Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Extravillous.trophoblasts	1.026061037988695e-07	9.902240190246976e-08	0.1500565643787361
Stromal.cells	1.9336343227313878e-07	1.9598875972039392e-07	0.1619182316384753
Erythroblasts	1.946773978322696e-07	2.7143263602109977e-07	0.23661863178804832
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.5328516941379875e-07	2.2516470811074812e-07	0.2480088113560348
PAEP_MECOM.positive.cells	8.196165459778075e-08	1.319397374179402e-07	0.26723230019981914
Lymphoid.cells	1.8843326743428882e-07	3.607543725715137e-07	0.30071987175172343
Smooth.muscle.cells	2.159926311534307e-07	4.517766071653958e-07	0.31629090608983546
IGFBP1_DKK1.positive.cells	-3.204618693321539e-08	7.058913017692129e-08	0.6750790702568162
Vascular.endothelial.cells	-1.3344175081859538e-07	1.4431639088710625e-07	0.8224252810459454
Myeloid.cells	-3.7878409382506454e-07	3.95140738980731e-07	0.8311212448242291
Trophoblast.giant.cells	-2.2762667438907893e-07	1.3324037615995585e-07	0.9562181023316204
