Name	Coefficient	Coefficient_std_error	Coefficient_P_value
IGFBP1_DKK1.positive.cells	6.052219067260059e-08	4.1781025632456374e-08	0.07373069013429887
Trophoblast.giant.cells	8.503040003300242e-08	9.282951910040766e-08	0.17983751402854126
PAEP_MECOM.positive.cells	3.749912183003643e-08	6.070455171880713e-08	0.26837612837287356
Myeloid.cells	1.3770030271038634e-07	2.547199946028428e-07	0.29439345388859484
Stromal.cells	1.0862812165950402e-07	2.524192854661062e-07	0.333471276467046
Lymphoid.cells	1.403701065030615e-07	3.6848063070942613e-07	0.3516227826941115
Vascular.endothelial.cells	2.571955500024952e-10	1.1122767396299583e-07	0.4990775129593738
Smooth.muscle.cells	-2.3535870555802484e-08	1.4468575699353123e-07	0.5646104260270822
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-3.51323228198403e-08	1.1426118755029286e-07	0.6207586231236483
Erythroblasts	-7.441594961392196e-08	1.1269871342523946e-07	0.7454721505456409
Extravillous.trophoblasts	-2.439762448408263e-08	3.084007656832869e-08	0.7855575579667056
