Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Erythroblasts	1.566815176785369e-07	1.1107792249443394e-07	0.0791879358477165
Smooth.muscle.cells	1.4010617563718442e-07	1.7485609074677812e-07	0.21148894203514917
PAEP_MECOM.positive.cells	2.905274851993565e-08	6.369760650188292e-08	0.32415751001734616
IGFBP1_DKK1.positive.cells	1.7613163793105042e-08	4.494912130053631e-08	0.34758575223393595
Vascular.endothelial.cells	-1.1858587349726123e-08	1.1582459959614094e-07	0.5407740637524254
Myeloid.cells	-1.1377230489648564e-07	2.2640656488991526e-07	0.6923467423649775
Lymphoid.cells	-1.5847399466359412e-07	2.837506869970288e-07	0.7117475786731554
Stromal.cells	-1.027681012589115e-07	1.5747567651935136e-07	0.7429918318069457
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-9.71273847239441e-08	1.1157534912452754e-07	0.8079889443082031
Trophoblast.giant.cells	-8.088490213469853e-08	8.333422870327236e-08	0.8341283385437246
Extravillous.trophoblasts	-4.380375780421742e-08	2.850742575864561e-08	0.9378011191182871
