Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	4.5714678199904917e-07	3.5372461774725753e-07	0.09811271116849912
Smooth.muscle.cells	2.0965053281810473e-07	1.8450181102323284e-07	0.12791423993915185
Trophoblast.giant.cells	4.4542900973253765e-08	7.754359834893268e-08	0.2828404709338572
Myeloid.cells	1.4862773890520177e-08	2.294843513485464e-07	0.4741801729997801
Erythroblasts	4.814589542656096e-09	1.5783627245542195e-07	0.4878326732149215
Stromal.cells	-6.59263485259834e-08	1.2622372215440953e-07	0.6992684338302269
Extravillous.trophoblasts	-2.09250066238105e-08	2.9060805378757524e-08	0.7642504974261412
IGFBP1_DKK1.positive.cells	-4.603183873781957e-08	4.553299450705954e-08	0.8439811750764589
PAEP_MECOM.positive.cells	-7.184378453278275e-08	6.592477874518778e-08	0.862095899840685
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-1.3947246106643022e-07	9.926795213856845e-08	0.919990841123403
Vascular.endothelial.cells	-1.5700880178767687e-07	9.321552201372501e-08	0.9539442579832026
