Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	1.3375642587439384e-07	1.0943741216727006e-07	0.11081251152330596
IGFBP1_DKK1.positive.cells	4.5229173551207187e-08	4.716948967535853e-08	0.16881337494066395
Trophoblast.giant.cells	8.231777203423108e-08	9.361641316669999e-08	0.1896168283411691
Syncytiotrophoblasts.and.villous.cytotrophoblasts	3.469762904411794e-08	8.777416967449569e-08	0.34630864891490104
Extravillous.trophoblasts	8.877411738789144e-09	2.8319386269793077e-08	0.376960011254497
PAEP_MECOM.positive.cells	-3.3916590488101193e-09	6.523386857828987e-08	0.5207325867073064
Myeloid.cells	-2.8081574256859816e-08	2.0870803452183734e-07	0.5535159880216698
Lymphoid.cells	-1.246476541446261e-07	2.4419718207635565e-07	0.6951278704314462
Erythroblasts	-6.407498487316634e-08	1.0031641743165346e-07	0.7385003129591614
Smooth.muscle.cells	-1.8567191987459447e-07	1.2790305312720072e-07	0.9267021056697595
Stromal.cells	-2.3614400453356515e-07	1.1096154419359523e-07	0.9833381216006346
