Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Trophoblast.giant.cells	2.2608345758223988e-07	1.02064168482976e-07	0.013376224890868002
Erythroblasts	1.3078599816438854e-07	1.0829900342727315e-07	0.1135932567862607
Stromal.cells	1.2330041171549305e-07	1.827165237022935e-07	0.2498956795004315
Extravillous.trophoblasts	3.4007095182980323e-09	3.211793817659347e-08	0.4578380126966113
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-1.2595794162146415e-08	1.0219224044636585e-07	0.5490477600833433
Vascular.endothelial.cells	-1.923283792439526e-08	1.0413254866459882e-07	0.5732661553712438
Smooth.muscle.cells	-4.5387148623474055e-08	1.4804123853428275e-07	0.6204201722627134
PAEP_MECOM.positive.cells	-3.1758379408244057e-08	6.78778419625367e-08	0.6800631884087708
Myeloid.cells	-1.9401932502743714e-07	2.0245182868742846e-07	0.831056371235312
IGFBP1_DKK1.positive.cells	-6.431639930707999e-08	3.878215109786274e-08	0.9513818295471268
Lymphoid.cells	-4.773731309738902e-07	2.408395501369781e-07	0.976267150379215
