Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Extravillous.trophoblasts	1.5823446992225123e-08	3.418075350021346e-08	0.3217056905643584
Myeloid.cells	7.023425014514888e-08	2.3625868737412717e-07	0.38312755807415844
Vascular.endothelial.cells	3.6303865906776496e-08	1.380170264248809e-07	0.3962602449993514
PAEP_MECOM.positive.cells	1.5677837112918774e-08	7.624691493656735e-08	0.41854415105750525
Smooth.muscle.cells	1.3237811224820344e-08	2.1750895487280666e-07	0.4757349570048115
Lymphoid.cells	-9.055665524600522e-08	3.419586037566802e-07	0.6044250093305765
Trophoblast.giant.cells	-4.7205638538812504e-08	8.434739220414115e-08	0.712143412778836
Stromal.cells	-1.1501364501802353e-07	1.3896712743252545e-07	0.7960605369247082
IGFBP1_DKK1.positive.cells	-5.085034805354924e-08	4.305718526792862e-08	0.8811977722399191
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-1.6242707292266314e-07	1.34463029239965e-07	0.8864702664101561
Erythroblasts	-1.7412402940753765e-07	9.498498527867531e-08	0.9666116692254875
