Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PAEP_MECOM.positive.cells	9.19084834362537e-08	6.669952367926658e-08	0.08410965284192268
Trophoblast.giant.cells	1.1348525935541869e-07	1.013657447629041e-07	0.13145017897370131
Extravillous.trophoblasts	4.851795791908207e-09	3.5681642471281475e-08	0.44592069442824833
Erythroblasts	9.243002571051548e-09	1.0471688770335203e-07	0.4648323963830215
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-8.487020794285812e-09	1.3242062829898314e-07	0.5255512672086274
Stromal.cells	-3.1777239985457084e-08	1.4532807307805413e-07	0.5865420182439954
Smooth.muscle.cells	-3.300706325712978e-08	1.3223918867397815e-07	0.5985521237530339
IGFBP1_DKK1.positive.cells	-1.913449375020328e-08	4.4600495801260846e-08	0.6660455756179594
Lymphoid.cells	-1.4712930316455487e-07	2.6862318395726734e-07	0.7080566495865641
Vascular.endothelial.cells	-6.96722523279831e-08	1.1791691203557788e-07	0.7226925037949115
Myeloid.cells	-2.7112746143522005e-07	1.991715716878543e-07	0.9132867426955115
