Name	Coefficient	Coefficient_std_error	Coefficient_P_value
IGFBP1_DKK1.positive.cells	2.7514282268765214e-07	1.766478956420637e-07	0.059666694392147265
Syncytiotrophoblasts.and.villous.cytotrophoblasts	4.880297246592809e-07	4.96191362013756e-07	0.16266805760636754
Extravillous.trophoblasts	3.9612485548652764e-08	8.87760196756763e-08	0.3277238466480145
Smooth.muscle.cells	-5.5990894128134903e-08	2.8365570747360903e-07	0.5782389524336974
Erythroblasts	-1.0498022330923426e-07	2.0909939235099918e-07	0.6921869759321575
PAEP_MECOM.positive.cells	-9.562815865943723e-08	1.692145024472495e-07	0.7140072611822565
Trophoblast.giant.cells	-1.0842442492328114e-07	1.6575982508031878e-07	0.7434781035126355
Lymphoid.cells	-4.894787360868897e-07	3.9941006556468814e-07	0.8898073566432594
Vascular.endothelial.cells	-4.4421702837022593e-07	2.179727868133051e-07	0.979222392729698
Myeloid.cells	-7.525455634376737e-07	3.4228791839356655e-07	0.9860459118287841
Stromal.cells	-5.309385005795757e-07	2.2948342998161797e-07	0.9896558374607467
