Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	1.8106823997904108e-07	1.5160785439929362e-07	0.11617647649712598
Lymphoid.cells	3.504519770200866e-07	3.452692933561625e-07	0.15505039810922533
Extravillous.trophoblasts	2.063074807051625e-08	3.3433557095835665e-08	0.26859523453862244
PAEP_MECOM.positive.cells	2.6632930240822656e-08	6.663853946536436e-08	0.34470253052548505
Myeloid.cells	2.9402750922514407e-08	2.7682052520254317e-07	0.4577055140667122
Smooth.muscle.cells	1.9187154603258785e-08	1.9563586958972627e-07	0.46093603116609905
Erythroblasts	-1.261395251311195e-08	1.0551207236093349e-07	0.5475801260383606
IGFBP1_DKK1.positive.cells	-2.0739747885124622e-08	4.7761300241499466e-08	0.6679420099335238
Trophoblast.giant.cells	-4.227022965880034e-08	8.181964481417563e-08	0.697291683917209
Stromal.cells	-9.743121531085096e-08	1.51495376493552e-07	0.73993011192251
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-1.1773432919492998e-07	1.1485682410733286e-07	0.847330903719393
