Name	Coefficient	Coefficient_std_error	Coefficient_P_value
IGFBP1_DKK1.positive.cells	2.8713419714137698e-08	4.6090868256920164e-08	0.26665075283884754
Syncytiotrophoblasts.and.villous.cytotrophoblasts	5.027845809019806e-08	1.2229016198428478e-07	0.34048469796607417
Vascular.endothelial.cells	3.074953961624886e-08	8.87310511991108e-08	0.3644655803304139
Erythroblasts	2.639378104928958e-08	9.927272514034928e-08	0.3951691158150158
Myeloid.cells	6.081331269787452e-08	2.494471887951959e-07	0.4036958283916375
PAEP_MECOM.positive.cells	-2.0176596005734578e-08	6.534120200518965e-08	0.6212586995112301
Smooth.muscle.cells	-1.2006742371100447e-07	1.3366567078821365e-07	0.815478314800981
Extravillous.trophoblasts	-2.7508940875724474e-08	2.8544989630131922e-08	0.832403003176005
Lymphoid.cells	-2.787559567512744e-07	2.8835741194333625e-07	0.833153720521293
Trophoblast.giant.cells	-1.1737563644608856e-07	7.282118276314014e-08	0.9465009336590628
Stromal.cells	-2.2092211602543317e-07	1.1450946361640345e-07	0.9731526476253619
