Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Erythroblasts	1.9093497246324074e-07	1.3132615119637192e-07	0.07298714179297609
Trophoblast.giant.cells	5.0528754986726636e-08	8.076148330770525e-08	0.26577091539853925
Myeloid.cells	9.327199706293193e-08	2.3843202310985147e-07	0.34782875008035785
Vascular.endothelial.cells	3.77408400431516e-08	9.942294896917154e-08	0.3521215962817521
Smooth.muscle.cells	3.7515589853798624e-08	1.9075327917651817e-07	0.4220426018536753
Lymphoid.cells	7.886083213318035e-08	4.489372253900429e-07	0.43028007673124624
Extravillous.trophoblasts	-4.552681520127434e-09	2.776112950935225e-08	0.5651323903574597
PAEP_MECOM.positive.cells	-1.1210703356826618e-08	6.338045089735551e-08	0.5701984848561473
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-8.39269937515011e-08	1.1086398515673969e-07	0.7754830584392705
Stromal.cells	-1.5872215811155848e-07	1.48316547861763e-07	0.857725929242519
IGFBP1_DKK1.positive.cells	-4.829223643660313e-08	3.952346448934522e-08	0.8891201728188636
