Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PAEP_MECOM.positive.cells	5.686721948625186e-07	3.5998463376955934e-07	0.05708637068226276
Extravillous.trophoblasts	3.4541710213350224e-07	2.6092280016707807e-07	0.0927799642124088
Erythroblasts	7.879414614098654e-07	6.191109749531257e-07	0.10156256741812847
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.1774241530071326e-06	1.0167119203691041e-06	0.12341761945168134
Vascular.endothelial.cells	3.80922457242423e-07	9.926784812663423e-07	0.35058856180597164
Smooth.muscle.cells	-3.3548786597617e-07	7.18864557775837e-07	0.6796396378672185
Trophoblast.giant.cells	-2.542251612335099e-07	5.026323196361732e-07	0.6934970945024239
Stromal.cells	-6.871431432934185e-07	6.561232605385661e-07	0.8525142002543298
IGFBP1_DKK1.positive.cells	-4.0651213148856316e-07	2.337085097232798e-07	0.9590176165267923
Myeloid.cells	-1.456930792225696e-06	7.965151495961598e-07	0.9663100295937687
Lymphoid.cells	-2.1379419070290706e-06	1.0583554753551428e-06	0.9783114347863588
