Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Erythroblasts	1.0358274938177582e-06	6.477067928345888e-07	0.05488554904229447
Stromal.cells	1.1073919971713692e-06	1.377626715729937e-06	0.21074457988611817
Lymphoid.cells	1.4770136766250922e-07	1.0103217787028138e-06	0.4418847517071877
PAEP_MECOM.positive.cells	5.384434970374006e-09	1.7180088313654165e-07	0.48749874206742244
Myeloid.cells	-3.481888880647286e-08	6.648663031366563e-07	0.5208829655150267
Vascular.endothelial.cells	-7.327654343028736e-08	3.529592540495004e-07	0.5822317839512764
Trophoblast.giant.cells	-8.840298660053989e-08	1.9232212454399912e-07	0.6771202286078103
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-1.5010034562227456e-07	2.5003938906131866e-07	0.725849106281983
Smooth.muscle.cells	-3.8244789126429473e-07	2.87910215228799e-07	0.9079700970007164
IGFBP1_DKK1.positive.cells	-1.5661236421010808e-07	1.0878899734516824e-07	0.9250093406086412
Extravillous.trophoblasts	-1.6853962570333258e-07	9.64704082419624e-08	0.959686565352912
