Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	7.155805953921092e-07	5.365671488620494e-07	0.09116301647768782
Trophoblast.giant.cells	-1.1053739554516515e-08	8.865771288426237e-08	0.5496110894903221
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-7.621228999969466e-08	1.1975779471832957e-07	0.7377378567141564
Erythroblasts	-9.253640199067543e-08	1.1266967072422947e-07	0.7942643214541627
Smooth.muscle.cells	-1.2355312630098953e-07	1.3929588598711627e-07	0.8124560574162769
Vascular.endothelial.cells	-1.2277505866040045e-07	1.3775838180349226e-07	0.8135983805652076
Stromal.cells	-1.2399101795454697e-07	1.3186013867206674e-07	0.8264738466048502
IGFBP1_DKK1.positive.cells	-6.176513357200789e-08	5.248192595776327e-08	0.880379075020854
Myeloid.cells	-4.2106880581812133e-07	3.162926266492906e-07	0.9084488259843925
PAEP_MECOM.positive.cells	-9.731916462812782e-08	6.161624127101223e-08	0.9428824315391724
Extravillous.trophoblasts	-5.5189433880072454e-08	3.0275746228725555e-08	0.9658401708366232
