Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Erythroblasts	2.162518660646294e-06	8.502506944476705e-07	0.005489139257724356
Extravillous.trophoblasts	3.695842760690891e-07	2.45699547323028e-07	0.06626335853202957
PAEP_MECOM.positive.cells	1.0796928404268922e-06	7.311800832545302e-07	0.06988551642129794
Vascular.endothelial.cells	1.5944893455825646e-06	1.0873203404707348e-06	0.07126431485220931
Stromal.cells	1.1541751071214454e-06	1.4925228941211523e-06	0.2196710100409081
Lymphoid.cells	1.1037417589364102e-06	2.656587378943627e-06	0.33889764117908344
Smooth.muscle.cells	5.7482960007760734e-08	1.1175762333428639e-06	0.47948929582524485
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-5.3304077404294034e-08	5.534692661549307e-07	0.5383624225222204
Myeloid.cells	-3.1411419688712087e-07	1.1442455600527162e-06	0.6081561073234069
Trophoblast.giant.cells	-3.8602795829858316e-07	4.0746608649083767e-07	0.8282791216183294
IGFBP1_DKK1.positive.cells	-2.536549091883988e-07	2.1191063952534927e-07	0.8843447671213418
