Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	1.731807828379787e-06	1.180998932696164e-06	0.07127071137592984
IGFBP1_DKK1.positive.cells	-2.511413493407051e-10	8.836648926652768e-08	0.5011338095307818
Myeloid.cells	-1.1727485551130253e-07	5.857061444716034e-07	0.5793489222981467
PAEP_MECOM.positive.cells	-6.544474792717531e-08	1.178805697962128e-07	0.7106136843727462
Extravillous.trophoblasts	-4.8949424627368604e-08	7.881155607349912e-08	0.7327312786481028
Vascular.endothelial.cells	-1.844913648722366e-07	1.9654420916666282e-07	0.8260514832118928
Trophoblast.giant.cells	-1.8648150988083725e-07	1.7125509733034538e-07	0.861903368900879
Erythroblasts	-3.31437695780299e-07	1.8164353973176024e-07	0.9659738212405737
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-3.20271075961514e-07	1.737019631064976e-07	0.9673936003246261
Smooth.muscle.cells	-5.293956871078137e-07	1.6580893363236525e-07	0.9992955110967351
Stromal.cells	-5.596360258297505e-07	1.6762715951580658e-07	0.9995789551717176
