Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	2.6218177131174587e-07	1.741169662200714e-07	0.06606188421091314
Lymphoid.cells	3.5224717723963147e-07	3.299003146447887e-07	0.14281930472708093
Vascular.endothelial.cells	9.802806049173851e-08	1.2482518610584264e-07	0.21613217538626794
IGFBP1_DKK1.positive.cells	2.6408091818016318e-08	5.3140012822038105e-08	0.3096110776130863
Extravillous.trophoblasts	7.650902030001122e-09	3.184549861542736e-08	0.4050679716147202
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.17240196706678e-08	1.2063908157786192e-07	0.46129069270869677
Stromal.cells	1.1968322143849326e-08	1.5070914558518018e-07	0.4683519146058808
Trophoblast.giant.cells	-4.918468106028444e-08	8.442865385929643e-08	0.7199049291064237
PAEP_MECOM.positive.cells	-5.469224370184949e-08	6.70986273985536e-08	0.7924931146377676
Myeloid.cells	-1.6745516608340917e-07	1.7885416545776277e-07	0.8254320078283395
Erythroblasts	-1.636486640837149e-07	1.0256137392961197e-07	0.9447128267744194
