Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Trophoblast.giant.cells	1.4645110221347453e-07	1.0270886041691268e-07	0.07695065923069068
Erythroblasts	9.967871500506842e-08	1.2367015543216143e-07	0.21012009640871965
Stromal.cells	2.2359607352878794e-07	2.8776241418314123e-07	0.21857458994765516
Smooth.muscle.cells	6.77985649444123e-08	8.898912836374413e-08	0.22306739740469161
Myeloid.cells	-9.856525311758113e-08	2.593701321999802e-07	0.6480338790406824
Vascular.endothelial.cells	-4.322199003222241e-08	1.0696643684216116e-07	0.6569195902940468
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-8.287718764620266e-08	1.1751105104605932e-07	0.7596793334210254
PAEP_MECOM.positive.cells	-4.392723629036076e-08	5.511908290633367e-08	0.7872604029092847
IGFBP1_DKK1.positive.cells	-3.9002669991054594e-08	4.4431912574427466e-08	0.809975926950778
Extravillous.trophoblasts	-3.872669409675654e-08	3.054237055399863e-08	0.8975949926924074
Lymphoid.cells	-4.167005121382135e-07	2.640741154098461e-07	0.9427135229131031
