Name	Coefficient	Coefficient_std_error	Coefficient_P_value
IGFBP1_DKK1.positive.cells	8.071835967324916e-08	4.976407476779692e-08	0.05239945738481826
Vascular.endothelial.cells	2.4008183717810373e-08	1.1103449992591339e-07	0.41440706472997096
Stromal.cells	2.8911555045042874e-08	1.541179749213562e-07	0.4255975981520945
Smooth.muscle.cells	-1.6416392479140838e-08	1.4577526704706645e-07	0.5448318611654347
Trophoblast.giant.cells	-1.2871862352379862e-08	8.20973702869135e-08	0.5622939380799834
Myeloid.cells	-9.057326834051947e-08	2.2479657173081934e-07	0.6564935708333018
Extravillous.trophoblasts	-2.2622883395739245e-08	3.586955090448832e-08	0.735881264310451
PAEP_MECOM.positive.cells	-4.4097509801221324e-08	6.427909266262248e-08	0.7536535121927944
Erythroblasts	-1.3537524663920092e-07	8.857823262271698e-08	0.9367825531973452
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-1.9475866840114352e-07	1.115389172510847e-07	0.9596036516067358
Lymphoid.cells	-6.649337993840992e-07	3.0786629865447666e-07	0.9846064463614453
