Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Syncytiotrophoblasts.and.villous.cytotrophoblasts	2.8486136806587694e-07	1.8133987954554247e-07	0.058106429590649086
IGFBP1_DKK1.positive.cells	7.538294701863017e-08	5.0747811344564633e-08	0.06871334502119562
Smooth.muscle.cells	1.5535239421953675e-07	1.6659555372769925e-07	0.17553593010830254
Lymphoid.cells	1.1701004909991858e-07	3.029164474252224e-07	0.3496452864393419
Extravillous.trophoblasts	-1.0551055539042562e-08	3.19688735723599e-08	0.6293157040836259
Trophoblast.giant.cells	-7.272230495203123e-08	9.088065371822055e-08	0.7882012788861299
Stromal.cells	-9.616965558390604e-08	1.1935959978802615e-07	0.7897960036660219
PAEP_MECOM.positive.cells	-5.531224726210826e-08	6.173302585255223e-08	0.8148712655825228
Myeloid.cells	-2.564616922859386e-07	2.335032865298689e-07	0.8639679481276153
Vascular.endothelial.cells	-1.1751121871515309e-07	1.0658737143168778e-07	0.864875052179293
Erythroblasts	-1.551284964559218e-07	1.0537355974940628e-07	0.929513412339959
