Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	3.69770330240114e-07	2.0151491684233123e-07	0.03325635293423571
Lymphoid.cells	7.616700504656299e-07	8.869007233369117e-07	0.195225524234518
Smooth.muscle.cells	7.541069258983517e-08	2.1891624166829978e-07	0.3652453709243864
IGFBP1_DKK1.positive.cells	4.710903300874592e-09	7.948225610710137e-08	0.47636857801032745
Stromal.cells	-1.1336280114625378e-07	2.703632171329204e-07	0.6625008816894005
Trophoblast.giant.cells	-5.309538158445577e-08	1.1670062979270502e-07	0.6754348851991601
PAEP_MECOM.positive.cells	-6.160621677974856e-08	1.0598685788770413e-07	0.7194683227530861
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-1.5851557979196453e-07	1.5360331818653793e-07	0.8489592985146615
Erythroblasts	-1.668691734432685e-07	1.4967992028112635e-07	0.8675405199151025
Myeloid.cells	-4.410419874369462e-07	2.94014235195157e-07	0.9332018881170079
Extravillous.trophoblasts	-1.5150749120439902e-07	4.739967690713756e-08	0.9993041871964002
