Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Extravillous.trophoblasts	5.576988291980847e-08	4.446376823657597e-08	0.10487066596052891
PAEP_MECOM.positive.cells	9.853602732054273e-08	1.1747855533296594e-07	0.20080268321222666
Trophoblast.giant.cells	2.8902852567256297e-08	1.1034322226578152e-07	0.39668542604328155
Lymphoid.cells	5.460527206740071e-08	5.412990466780814e-07	0.4598235753909124
IGFBP1_DKK1.positive.cells	4.707140572205005e-09	6.311558934975163e-08	0.4702745703221149
Myeloid.cells	-1.5493983618534918e-07	2.655105854747649e-07	0.7202398831050841
Stromal.cells	-1.1996549715270062e-07	1.643426963828225e-07	0.7672962205857331
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-1.9314444859023176e-07	1.3955671715863423e-07	0.9168185259121313
Vascular.endothelial.cells	-1.7516570027224962e-07	1.2593229796587517e-07	0.9178799105610828
Smooth.muscle.cells	-1.9038220260707935e-07	1.2293488398370675e-07	0.9392661744932356
Erythroblasts	-2.075591358360014e-07	1.2663173861315518e-07	0.9494013595066019
