Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	1.6187588491674325e-07	1.8135147691496872e-07	0.1860334104676703
Extravillous.trophoblasts	3.9347458133168424e-08	4.994623472473672e-08	0.21540793740771896
Erythroblasts	9.401025913188686e-08	1.3695391716041228e-07	0.24621873639846148
Myeloid.cells	1.6938009101407526e-07	2.801760922610011e-07	0.27273945230849833
Lymphoid.cells	1.213482402783413e-07	3.6153741099067525e-07	0.3685692761009306
Syncytiotrophoblasts.and.villous.cytotrophoblasts	3.2019311776399386e-08	1.709867838177882e-07	0.42572764291578447
Stromal.cells	-9.253801212168975e-08	2.7960210981357257e-07	0.6296638628979794
PAEP_MECOM.positive.cells	-4.865831874889173e-08	1.0774524437943099e-07	0.67422330881478
IGFBP1_DKK1.positive.cells	-2.5978990910062397e-08	5.506273256344412e-08	0.6814677764567099
Smooth.muscle.cells	-8.61875958739498e-08	1.567371441976159e-07	0.7088012920961365
Trophoblast.giant.cells	-7.854419778021167e-08	1.0758545116859257e-07	0.7673242769539399
