Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Stromal.cells	4.6073135915179887e-07	3.1732918817027587e-07	0.07326421953442579
Vascular.endothelial.cells	2.431349693227025e-07	1.7994356999184396e-07	0.08831994306064361
Smooth.muscle.cells	1.519466504066445e-07	1.2956947707216895e-07	0.12045725355070841
Extravillous.trophoblasts	2.4669542998562488e-08	4.019450894366151e-08	0.2696889299630717
PAEP_MECOM.positive.cells	5.5776674422722287e-08	9.577111730056626e-08	0.28015013249576004
Lymphoid.cells	1.6444223225068666e-07	4.2313691778035955e-07	0.3487762190595756
Syncytiotrophoblasts.and.villous.cytotrophoblasts	6.408449583086227e-08	1.8942626159403563e-07	0.3675653964251139
Erythroblasts	2.2433049416683322e-08	1.3975773591237835e-07	0.43623816418790523
IGFBP1_DKK1.positive.cells	2.5694731431889832e-09	4.904184085765744e-08	0.4791075810607565
Trophoblast.giant.cells	-9.26307116141032e-08	9.229195753558721e-08	0.8422312603553131
Myeloid.cells	-4.223625000466433e-07	1.5944030892879255e-07	0.9959638670733136
