Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	7.74614801010086e-07	2.8378056976221214e-07	0.003170311374810603
Stromal.cells	1.453222067616494e-06	1.28414301213582e-06	0.12888726333236256
Smooth.muscle.cells	2.0912223475018687e-07	5.091750478657017e-07	0.34064335224992215
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.0789945259776591e-07	3.8378487138863645e-07	0.38929933900584024
PAEP_MECOM.positive.cells	-2.2663890813737556e-09	2.0546567677037198e-07	0.5044004434600989
IGFBP1_DKK1.positive.cells	-5.1499028208364876e-08	1.1714121618281869e-07	0.6698981731793978
Extravillous.trophoblasts	-5.407541271326795e-08	1.0296601488244599e-07	0.7002700248864849
Erythroblasts	-1.8207627346484703e-07	2.274091594447517e-07	0.7883342906372546
Lymphoid.cells	-8.780762205837617e-07	4.79040193705834e-07	0.9665980230276977
Trophoblast.giant.cells	-3.680289420219485e-07	1.8497327068695994e-07	0.9766843164360354
Myeloid.cells	-9.934334901648045e-07	3.2665910946903866e-07	0.9988217874557627
