Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Stromal.cells	3.3270951939886837e-07	2.2331654189897705e-07	0.06813103405075525
Lymphoid.cells	2.1098978607377927e-07	3.8576101783478026e-07	0.2922085031614723
Smooth.muscle.cells	7.352481941995585e-08	1.371107216484185e-07	0.2958949195390713
IGFBP1_DKK1.positive.cells	1.1396390657336218e-08	5.021255046260292e-08	0.41022625991526135
Myeloid.cells	-2.9534803778434753e-08	2.6082211234769015e-07	0.5450788058760683
Vascular.endothelial.cells	-2.6794542097705326e-08	1.5281873765948176e-07	0.5695919708377809
PAEP_MECOM.positive.cells	-5.666031121108516e-08	7.480424697556231e-08	0.7756091816172763
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-1.450548711402545e-07	1.5428528656836502e-07	0.8264356028918718
Trophoblast.giant.cells	-1.1936407373728192e-07	8.829775520909117e-08	0.911786088581859
Extravillous.trophoblasts	-7.983825659736288e-08	3.7257396555888216e-08	0.9839387688715279
Erythroblasts	-3.4848394497710054e-07	1.0479232172610936e-07	0.9995586553723418
