Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	6.432185576138379e-07	4.340539730851952e-07	0.06918529956259041
Vascular.endothelial.cells	2.554926027900576e-07	1.9717712363581879e-07	0.09753051322474082
Erythroblasts	1.5756067705508267e-07	1.7686915133584384e-07	0.18650968708045645
IGFBP1_DKK1.positive.cells	4.490512876080197e-08	6.619766780950124e-08	0.24877518511109803
PAEP_MECOM.positive.cells	5.3561629522461414e-08	8.020271623620115e-08	0.25212165601295156
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.6590020364943948e-07	2.8095704973285797e-07	0.27743362824758755
Smooth.muscle.cells	1.2192497606999665e-07	2.4096208661636433e-07	0.30643100477465823
Trophoblast.giant.cells	-3.4190584314457585e-08	1.2768117288048477e-07	0.605566028068233
Stromal.cells	-1.2910512465262561e-07	1.6303355051370138e-07	0.7857884606031778
Myeloid.cells	-2.6505833862901797e-07	2.1010971464732483e-07	0.8964398472509025
Extravillous.trophoblasts	-4.954093790821709e-08	3.652752612996077e-08	0.9124922732671396
