Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	3.975248640979989e-07	1.7896521844131847e-07	0.013167324453325727
IGFBP1_DKK1.positive.cells	6.898409191506e-08	5.968719585477324e-08	0.12388960608579291
Stromal.cells	1.829067262263085e-07	1.8041435132339386e-07	0.15533558349500032
Erythroblasts	1.4732728356889367e-07	1.647962224693578e-07	0.1856618210806401
Trophoblast.giant.cells	1.0804334591880872e-07	1.277413347456724e-07	0.1988327633354589
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.0080016710563167e-07	1.6168894947509333e-07	0.266504193472633
Extravillous.trophoblasts	2.3868259230945388e-08	5.3507586641304485e-08	0.3277724633490323
Smooth.muscle.cells	1.6407939998273774e-08	1.7913730556744986e-07	0.4635102259023693
Myeloid.cells	-8.92364041221103e-08	3.985914190871825e-07	0.5885744237983012
PAEP_MECOM.positive.cells	-9.127215311200637e-08	7.661800612241601e-08	0.8832247134740284
Lymphoid.cells	-4.1013510881217795e-07	3.431519855674397e-07	0.8839954685692819
