Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	6.833025622421442e-06	4.634913049625804e-06	0.07020699913120866
Vascular.endothelial.cells	8.07967356028337e-07	8.608553318257921e-07	0.17397746117844942
Syncytiotrophoblasts.and.villous.cytotrophoblasts	8.539256942282807e-07	1.5366925220473394e-06	0.2892111685527715
Erythroblasts	5.7960508750812116e-08	6.554091460670404e-07	0.4647658353742337
Myeloid.cells	3.163757613453568e-08	1.375075518012937e-06	0.49082199259007075
Stromal.cells	-4.1632707828612536e-07	5.586216663133812e-07	0.7719474253371599
Smooth.muscle.cells	-5.585301050967943e-07	7.003690236077709e-07	0.7874137669212979
PAEP_MECOM.positive.cells	-4.3295715602720727e-07	5.096300547189006e-07	0.8022128543468422
Extravillous.trophoblasts	-1.9002818232024014e-07	2.1297085168665557e-07	0.813876741033009
IGFBP1_DKK1.positive.cells	-4.806611693684457e-07	2.5334092066592144e-07	0.9711051561938029
Trophoblast.giant.cells	-7.948222288543203e-07	3.985311866076722e-07	0.9769446740741292
