Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Trophoblast.giant.cells	1.0541895141367704e-07	7.821622576021034e-08	0.08886316399070238
Myeloid.cells	3.9324121573260965e-07	3.06957945338922e-07	0.10008076390965376
PAEP_MECOM.positive.cells	2.76958499183598e-08	5.925552032411297e-08	0.3201079494613555
IGFBP1_DKK1.positive.cells	1.5874890490895456e-08	4.969671909880726e-08	0.37469819174130975
Lymphoid.cells	-1.1023686427501882e-08	2.819328774225152e-07	0.515594826349828
Extravillous.trophoblasts	-5.887179179797421e-09	2.704758398564039e-08	0.5861530136215574
Erythroblasts	-4.578194695168496e-08	9.377248879195982e-08	0.6873042834758971
Vascular.endothelial.cells	-5.768567143608233e-08	1.136942632503212e-07	0.6940542758584924
Smooth.muscle.cells	-6.245582038842646e-08	9.44526898965056e-08	0.7457705346657473
Stromal.cells	-1.0932278034598644e-07	1.1114587223680768e-07	0.837343224514931
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-2.338732494567019e-07	9.436409801134768e-08	0.9934015937445639
