Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Syncytiotrophoblasts.and.villous.cytotrophoblasts	2.0978412152681175e-07	1.3105374070210028e-07	0.054716281078757874
Smooth.muscle.cells	9.744425889682163e-08	1.3682970023589173e-07	0.2381837124099883
Myeloid.cells	2.8263644148275955e-07	4.0010537319548996e-07	0.2399681520435643
Stromal.cells	8.249093666616588e-08	1.4302774882883231e-07	0.2820549250861964
IGFBP1_DKK1.positive.cells	1.2010076410360888e-09	4.43661853134771e-08	0.4892018163876863
Lymphoid.cells	-7.274590970762985e-08	2.5256968822818715e-07	0.6133354796184247
Vascular.endothelial.cells	-4.448909549542924e-08	9.972632379289954e-08	0.672241775812075
PAEP_MECOM.positive.cells	-2.6227031024217463e-08	5.596343274052744e-08	0.6803386040338375
Trophoblast.giant.cells	-4.379776775130524e-08	7.561431606784543e-08	0.7187816102612207
Extravillous.trophoblasts	-4.234399872475988e-08	3.781573497334451e-08	0.8685888832100115
Erythroblasts	-1.391681297107405e-07	1.1032127925024563e-07	0.8964320884854421
