Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	1.9778697605080624e-06	1.0579519842324629e-06	0.03077476795671795
Extravillous.trophoblasts	5.096125537108433e-08	6.953990659306517e-08	0.231829632546237
Trophoblast.giant.cells	6.598611726548088e-08	1.7276262175619523e-07	0.3512504413596198
PAEP_MECOM.positive.cells	3.086961391789633e-08	1.049275616667059e-07	0.3843028123967935
Vascular.endothelial.cells	-1.0222375516340151e-07	1.8938945255170448e-07	0.705316726835236
IGFBP1_DKK1.positive.cells	-4.206217243321945e-08	7.649712336008631e-08	0.7087898969131201
Stromal.cells	-3.268615235042591e-07	1.8233400553619368e-07	0.9634857524857473
Erythroblasts	-3.197664288109973e-07	1.5122089622216713e-07	0.9827664843853937
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-3.6016708568659145e-07	1.4378428964870942e-07	0.9938759180675371
Myeloid.cells	-8.740252752597903e-07	3.4255056527061527e-07	0.9946373211080328
Smooth.muscle.cells	-5.025004226878766e-07	1.6261544598529276e-07	0.9989996048198978
