Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Myeloid.cells	3.1061689935610074e-07	2.9878759337276363e-07	0.14926497505498987
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.931591210321408e-07	1.8717419735046608e-07	0.1510418786411885
Extravillous.trophoblasts	2.5138586033681916e-08	5.256798897415988e-08	0.3162500477846116
Stromal.cells	4.057939058442206e-08	2.6391642937247576e-07	0.43890008397494157
Smooth.muscle.cells	-1.0181599990382745e-07	1.7785109782354555e-07	0.7165012099280327
IGFBP1_DKK1.positive.cells	-4.700754325838318e-08	8.042952185732782e-08	0.7205433314407247
Erythroblasts	-9.533309702029556e-08	1.3590528672389233e-07	0.7584942423962984
Lymphoid.cells	-2.54255019378676e-07	3.541685733211621e-07	0.7635882631743289
Trophoblast.giant.cells	-9.216396508279192e-08	1.2158224481004656e-07	0.7757858912236513
PAEP_MECOM.positive.cells	-7.390325042842959e-08	8.260336538313226e-08	0.8145198502435107
Vascular.endothelial.cells	-1.68454744604969e-07	1.3419373827903726e-07	0.8953168808703911
