Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Extravillous.trophoblasts	8.067027135913952e-08	4.3335252539309204e-08	0.03133403509858327
Myeloid.cells	5.372720780215473e-07	3.3942209453703485e-07	0.05672184576239313
Smooth.muscle.cells	1.2393097807461908e-07	1.5542824224201906e-07	0.21262339195583851
Stromal.cells	1.2347498922071958e-07	2.3140114895460518e-07	0.2968101467742891
Syncytiotrophoblasts.and.villous.cytotrophoblasts	4.260939230911576e-08	1.439330292173619e-07	0.3836012040455459
Lymphoid.cells	3.156704250469856e-08	4.121448658473415e-07	0.4694740202246669
PAEP_MECOM.positive.cells	-2.1805770011415598e-08	6.416113473070008e-08	0.6330188245075513
Erythroblasts	-7.571774535519763e-08	1.0896021004364432e-07	0.7564447391571567
Trophoblast.giant.cells	-8.72149235260812e-08	8.346459083276365e-08	0.8519730821996688
IGFBP1_DKK1.positive.cells	-6.22693298839808e-08	4.63589549094856e-08	0.9103963250928473
Vascular.endothelial.cells	-2.6445119007341265e-07	1.0438839906722534e-07	0.9943509166589359
