Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Trophoblast.giant.cells	1.1847599713534302e-07	9.477282136396461e-08	0.10563055961132523
Lymphoid.cells	3.409688240509977e-07	5.203061962568884e-07	0.256129779947476
Syncytiotrophoblasts.and.villous.cytotrophoblasts	4.774867072202656e-08	1.3002400918542775e-07	0.3567238641573214
Smooth.muscle.cells	2.1992095949090713e-08	1.5499019128432823e-07	0.4435820764327848
PAEP_MECOM.positive.cells	2.6909802119142527e-09	6.885199216559129e-08	0.48441188845830485
IGFBP1_DKK1.positive.cells	-5.010981953172083e-08	5.011995044741047e-08	0.8412958307615452
Stromal.cells	-1.216306206992011e-07	1.19204112522971e-07	0.8462201519212988
Vascular.endothelial.cells	-1.3983636413947864e-07	1.1320232064719766e-07	0.8916365165544902
Extravillous.trophoblasts	-4.814697956364837e-08	3.163205233052967e-08	0.9360073245242457
Erythroblasts	-1.9687538085684108e-07	1.1476589446737832e-07	0.9568688038275025
Myeloid.cells	-3.4307688888119634e-07	1.7338009648101634e-07	0.9760782520778724
