Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	8.56249097552617e-07	6.423200089804199e-07	0.09125657166179352
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.6751360651030444e-06	1.444786403294671e-06	0.12313943861470111
Myeloid.cells	2.000714871298083e-06	1.8630734221489543e-06	0.14143852469729024
IGFBP1_DKK1.positive.cells	4.1933302558216606e-07	5.6190329356273e-07	0.22775138320671873
Lymphoid.cells	9.591859593956491e-07	1.5294963267974785e-06	0.2652885270865354
Smooth.muscle.cells	-7.414076933586248e-08	6.019141808878032e-07	0.5490157325383374
PAEP_MECOM.positive.cells	-4.888834524750078e-08	3.7811725027234087e-07	0.5514375465210145
Stromal.cells	-9.111418991723249e-08	6.81563859892805e-07	0.5531737751177539
Trophoblast.giant.cells	-8.883177778288515e-08	3.2880242703513095e-07	0.6064843589786859
Extravillous.trophoblasts	-4.457421024967751e-07	1.6292492881203555e-07	0.99688925934643
Erythroblasts	-1.0932302148596648e-06	3.86107152086864e-07	0.9976828844146438
