Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	2.16024672107589e-07	1.3704596534083902e-07	0.05747908296457493
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.6402209161736676e-07	1.2719522967613085e-07	0.09860690984236592
Extravillous.trophoblasts	2.4368367916535135e-08	3.354567339729563e-08	0.23378957230252134
Stromal.cells	1.0298259352403486e-07	1.4622490274927056e-07	0.24063065929600075
Trophoblast.giant.cells	4.169033854840295e-08	8.264177058482788e-08	0.3069653799561069
Smooth.muscle.cells	5.1904639766189795e-08	1.4064335803865723e-07	0.3560446758194665
Erythroblasts	2.5232801060298917e-08	1.1080231522332249e-07	0.40992881166377326
Myeloid.cells	-1.4963181541364006e-07	2.2064679062766458e-07	0.7511619836546474
IGFBP1_DKK1.positive.cells	-3.432686500769622e-08	4.215658703840227e-08	0.7922549958581395
PAEP_MECOM.positive.cells	-5.694599760795271e-08	6.619592328830997e-08	0.8051783496631628
Lymphoid.cells	-5.981761688408761e-07	1.9463784320780398e-07	0.9989413936465593
