Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Extravillous.trophoblasts	1.1322959451368387e-07	1.2904954051931665e-07	0.19013149283177505
Trophoblast.giant.cells	2.0494732937668377e-07	6.640459410776941e-07	0.37879987730190523
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.56637951648272e-07	5.087123156771643e-07	0.3790751519897466
Lymphoid.cells	1.9020795675888925e-07	6.371691630138328e-07	0.38265302622458414
Myeloid.cells	-9.473503051971952e-08	8.388624985488217e-07	0.5449580555124424
Smooth.muscle.cells	-1.5329155696802422e-07	2.659116748960377e-07	0.7178530762177717
IGFBP1_DKK1.positive.cells	-1.2547354760182387e-07	1.6598507485453177e-07	0.775155229707186
PAEP_MECOM.positive.cells	-2.1580309012361133e-07	1.5365075410850792e-07	0.9199155809507308
Erythroblasts	-4.2138759870266233e-07	2.7576259248026155e-07	0.9367537951708271
Stromal.cells	-6.768079421177128e-07	2.9574217957547576e-07	0.9889459831047998
Vascular.endothelial.cells	-4.7230621295848697e-07	1.8195507067752692e-07	0.9952804880168383
