Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Extravillous.trophoblasts	6.526342155107574e-08	3.444802483409904e-08	0.029076183604920515
Stromal.cells	2.7588473365954223e-07	2.0599525600405333e-07	0.0902402368163025
Erythroblasts	1.839844664807437e-07	1.6310547945741454e-07	0.12965803620437533
Smooth.muscle.cells	1.7974641341591302e-07	2.329061482694176e-07	0.22012986470705864
Lymphoid.cells	9.1604734258222e-08	3.6282567252798464e-07	0.40033662414531557
Syncytiotrophoblasts.and.villous.cytotrophoblasts	3.3518978741803762e-09	1.3377037657474264e-07	0.4900047088235972
PAEP_MECOM.positive.cells	-1.1326605370220162e-08	8.375581121795822e-08	0.5537864348820759
Myeloid.cells	-2.933802770781532e-08	1.7254618923415367e-07	0.5675067262836367
Trophoblast.giant.cells	-6.953106466283414e-08	1.0604851246876385e-07	0.7439764113136047
IGFBP1_DKK1.positive.cells	-5.398873980623273e-08	5.713940448846751e-08	0.8276348317498573
Vascular.endothelial.cells	-1.3178614222157368e-07	1.0821799915473473e-07	0.888346957027571
