Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.9243745816381759e-07	1.3172170067547634e-07	0.07201599906272896
Vascular.endothelial.cells	1.329446729167915e-07	1.397024058424136e-07	0.17064292545465726
Extravillous.trophoblasts	1.0149482535829664e-08	3.222798532670322e-08	0.37640830718799173
Smooth.muscle.cells	8.710905701398578e-09	1.1712837527901682e-07	0.4703577571684822
Trophoblast.giant.cells	-6.642867261367478e-09	9.114912314955366e-08	0.5290488424936344
IGFBP1_DKK1.positive.cells	-6.096258973670301e-09	5.093147025387723e-08	0.5476377487692954
Myeloid.cells	-3.3047470090046943e-08	2.0687344074909186e-07	0.563459923659861
Lymphoid.cells	-1.1817906765101448e-07	2.8088013147152737e-07	0.6630295550066596
Stromal.cells	-1.252715834864249e-07	1.524479615398737e-07	0.7943856804408048
Erythroblasts	-1.909627659390023e-07	1.1166128732183633e-07	0.9563852478272845
PAEP_MECOM.positive.cells	-1.1384310917621652e-07	6.371990331569189e-08	0.9630003531504385
