Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	4.718967400959349e-07	3.812042351089097e-07	0.10787461708204732
PAEP_MECOM.positive.cells	8.504244362917967e-08	7.729417317902328e-08	0.13561293087520626
Vascular.endothelial.cells	1.1792917853998609e-07	1.1977916786428762e-07	0.1624213515971203
Trophoblast.giant.cells	2.821346674565332e-08	8.043882002838765e-08	0.3628900512930652
Syncytiotrophoblasts.and.villous.cytotrophoblasts	3.208992135354452e-08	1.1813942570759509e-07	0.3929542114890011
Smooth.muscle.cells	8.150582597915994e-09	1.256879720941355e-07	0.47414760992983424
Myeloid.cells	-1.4395779571933354e-07	2.9284257969470286e-07	0.6884945622926454
Extravillous.trophoblasts	-1.6070771937069362e-08	3.1337216656405e-08	0.6959660744112384
IGFBP1_DKK1.positive.cells	-3.506169340013216e-08	4.3955011831261305e-08	0.7874696456688006
Stromal.cells	-2.2660235146286757e-07	1.1534643597117642e-07	0.9752660802005195
Erythroblasts	-2.850783815623719e-07	8.317254440909786e-08	0.9996954773429207
