Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	8.317312260557623e-07	4.3823410021195657e-07	0.028853616920690658
Stromal.cells	1.6704772039973848e-06	1.3200298549506833e-06	0.10284886650058317
PAEP_MECOM.positive.cells	3.603549469540843e-07	3.112847776546826e-07	0.1235059896721592
Smooth.muscle.cells	7.55234386045266e-07	7.067142092201216e-07	0.14261235047967452
IGFBP1_DKK1.positive.cells	1.0960846193932103e-07	1.5711411074894427e-07	0.2427024266050652
Extravillous.trophoblasts	6.4722831839533e-08	1.3776001020771267e-07	0.31924071289983413
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.8767842078762516e-07	4.2887430240142383e-07	0.3308355777579961
Erythroblasts	-1.1081741925211896e-07	3.641351940767938e-07	0.6195619169482576
Lymphoid.cells	-1.0522541271213688e-06	6.608917721856955e-07	0.9443270964861535
Myeloid.cells	-1.3456546456261873e-06	5.090762391319607e-07	0.995895206983151
Trophoblast.giant.cells	-5.771785779530258e-07	1.9855998597730116e-07	0.9981743967553693
