Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Erythroblasts	1.1351143858927127e-06	5.306167227380149e-07	0.0162082807223727
Extravillous.trophoblasts	8.572229528934376e-08	1.0465028437238096e-07	0.20635582969784494
Trophoblast.giant.cells	1.1164594460292517e-07	2.435738731311428e-07	0.32334481221362604
Stromal.cells	2.0337494170835066e-07	4.92753118474744e-07	0.3399015170538266
Vascular.endothelial.cells	1.3780429924312242e-07	4.495481454903801e-07	0.3795969247974144
Smooth.muscle.cells	1.9405949960279335e-08	3.5718960018665087e-07	0.47833630372435676
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-3.1331789500523105e-08	3.498343651044201e-07	0.535682272478417
PAEP_MECOM.positive.cells	-4.911689335183955e-08	2.1585402472587534e-07	0.5900007101906399
IGFBP1_DKK1.positive.cells	-8.95221945297442e-08	1.0646312429457968e-07	0.799791056593171
Myeloid.cells	-7.090929457174281e-07	4.886171107629651e-07	0.9266412713079958
Lymphoid.cells	-1.436845891302016e-06	6.248429008478476e-07	0.9892626097141428
