Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	4.233432857281038e-07	2.568689878538087e-07	0.04966707186168729
Vascular.endothelial.cells	1.8745702379053258e-07	1.417443867088398e-07	0.09300076973201987
Trophoblast.giant.cells	1.0313906635302712e-07	1.1701281235414603e-07	0.18904149225665623
IGFBP1_DKK1.positive.cells	2.4794076697752557e-08	5.96048572841285e-08	0.3387144788158835
Lymphoid.cells	1.2780138450604735e-07	4.3323570804823707e-07	0.38399971644819203
Myeloid.cells	1.4047046896739994e-08	2.657507041831127e-07	0.4789225300992272
Extravillous.trophoblasts	-1.7144966340890403e-09	5.738448657604992e-08	0.5119175667633853
PAEP_MECOM.positive.cells	-7.547187379089273e-09	7.66823634315021e-08	0.5392011681796195
Erythroblasts	-6.456884073395987e-08	1.5389189641526863e-07	0.6626011877443599
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-1.745789759062674e-07	1.2654165583493204e-07	0.916147646625206
Stromal.cells	-3.6360421667418253e-07	1.45570946224349e-07	0.9937513159498672
