Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PAEP_MECOM.positive.cells	9.704360042503271e-08	8.672334165074252e-08	0.1315696240338649
Extravillous.trophoblasts	1.7695543806450178e-08	3.533687451620258e-08	0.3082675248921666
Myeloid.cells	1.448244876880123e-07	3.544106160551042e-07	0.3414038684620101
Erythroblasts	3.5013587495224485e-08	9.931304484045613e-08	0.36220999377044183
IGFBP1_DKK1.positive.cells	1.398887801282899e-08	4.529182421505036e-08	0.3787136332597553
Smooth.muscle.cells	-8.684205658194133e-09	1.3389331629003298e-07	0.5258569241196771
Vascular.endothelial.cells	-1.4743299074679318e-08	1.2393923694909612e-07	0.5473448387692055
Syncytiotrophoblasts.and.villous.cytotrophoblasts	-1.6853039406377104e-08	1.1267866410231515e-07	0.5594469810962898
Stromal.cells	-2.1272114038736733e-08	1.3727385632455234e-07	0.5615740257310342
Trophoblast.giant.cells	-4.5843003330280566e-08	8.07089552949597e-08	0.7149838483562074
Lymphoid.cells	-1.9191423607260956e-07	2.2196649726688245e-07	0.8063732904527734
